,Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
5511,Ken Kremer,KremKe20,http://www.pro-football-reference.com/players/K/KremKe20.htm,http://www.sports-reference.com/cfb/players/ken-kremer-1.html
5512,Max Montoya,MontMa00,http://www.pro-football-reference.com/players/M/MontMa00.htm,
5513,Larry Polowski,PoloLa20,http://www.pro-football-reference.com/players/P/PoloLa20.htm,
5514,Tom Mullady,MullTo00,http://www.pro-football-reference.com/players/M/MullTo00.htm,
5515,Tim Ries,,http://www.pro-football-reference.com,
5516,Steve Alvers,AlveSt20,http://www.pro-football-reference.com/players/A/AlveSt20.htm,http://www.sports-reference.com/cfb/players/steve-alvers-1.html
5517,Kirk Gibson,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/kirk-gibson-1.html
5518,Lee Kunz,KunzLe20,http://www.pro-football-reference.com/players/K/KunzLe20.htm,
5519,Jack Matia,,http://www.pro-football-reference.com,
5520,Stan Sytsma,SytsSt20,http://www.pro-football-reference.com/players/S/SytsSt20.htm,
5521,Judson Flint,FlinJu20,http://www.pro-football-reference.com/players/F/FlinJu20.htm,
5522,Don Swafford,,http://www.pro-football-reference.com,
5523,Emmett King,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/emmett-king-1.html
5524,Henry Monroe,MonrHe20,http://www.pro-football-reference.com/players/M/MonrHe20.htm,
5525,Bob Winkel,WinkBo20,http://www.pro-football-reference.com/players/W/WinkBo20.htm,
5526,Rich Milot,MiloRi20,http://www.pro-football-reference.com/players/M/MiloRi20.htm,http://www.sports-reference.com/cfb/players/rich-milot-1.html
5527,Cody Risien,RisiCo00,http://www.pro-football-reference.com/players/R/RisiCo00.htm,
5528,Rich Wingo,WingRi20,http://www.pro-football-reference.com/players/W/WingRi20.htm,
5529,Curtis Bunche,,http://www.pro-football-reference.com,
5530,Roger Westlund,,http://www.pro-football-reference.com,
5531,Keith Brown,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/keith-brown-6.html
